entrancename,day,month,year,endtime_date,day_name,day_type,entervalue,load_timestamp,business_date
A1,7,11,2024,2024-11-07 00:00:00.000000,Thu,Weekday,143,2024-11-10 04:15:50.000000,2024-11-10
B1,7,11,2024,2024-11-07 00:00:00.000000,Thu,Weekday,295,2024-11-10 04:15:50.000000,2024-11-10
Bridge,7,11,2024,2024-11-07 00:00:00.000000,Thu,Weekday,1790,2024-11-10 04:15:50.000000,2024-11-10
Gate1,7,11,2024,2024-11-07 00:00:00.000000,Thu,Weekday,1118,2024-11-10 04:15:50.000000,2024-11-10
Gate2,7,11,2024,2024-11-07 00:00:00.000000,Thu,Weekday,580,2024-11-10 04:15:50.000000,2024-11-10
Gate3,7,11,2024,2024-11-07 00:00:00.000000,Thu,Weekday,1254,2024-11-10 04:15:50.000000,2024-11-10
Lift,7,11,2024,2024-11-07 00:00:00.000000,Thu,Weekday,241,2024-11-10 04:15:50.000000,2024-11-10
A1,13,11,2024,2024-11-13 00:00:00.000000,Wed,Weekday,111,2024-11-16 06:23:32.000000,2024-11-16
A1,11,11,2024,2024-11-11 00:00:00.000000,Mon,Weekday,90,2024-11-14 05:53:46.000000,2024-11-14
B1,13,11,2024,2024-11-13 00:00:00.000000,Wed,Weekday,277,2024-11-16 06:23:32.000000,2024-11-16
Bridge,13,11,2024,2024-11-13 00:00:00.000000,Wed,Weekday,1511,2024-11-16 06:23:32.000000,2024-11-16
B1,11,11,2024,2024-11-11 00:00:00.000000,Mon,Weekday,264,2024-11-14 05:53:46.000000,2024-11-14
Bridge,11,11,2024,2024-11-11 00:00:00.000000,Mon,Weekday,1561,2024-11-14 05:53:46.000000,2024-11-14
Gate1,13,11,2024,2024-11-13 00:00:00.000000,Wed,Weekday,1018,2024-11-16 06:23:32.000000,2024-11-16
Gate2,13,11,2024,2024-11-13 00:00:00.000000,Wed,Weekday,438,2024-11-16 06:23:32.000000,2024-11-16
Gate3,13,11,2024,2024-11-13 00:00:00.000000,Wed,Weekday,1080,2024-11-16 06:23:32.000000,2024-11-16
